,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__bootstrap,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.3407245635986328,0.0012247508394011952,0.027150344848632813,0.002035034417326639,True,5,sqrt,2,200,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",-50.48219934955959,-40.244728004125754,-51.04778909345088,-48.86966482622539,-44.59320270329722,-47.04751679533176,4.0846306847504135,85
15,0.6702878475189209,0.01223883569683423,0.04869046211242676,0.003001242236112984,True,5,sqrt,2,400,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 400}",-50.252718644831226,-41.104302731764086,-51.31701969079172,-49.27077765418521,-44.44542492223577,-47.2780487287616,3.8799951901169107,87
16,0.10392475128173828,0.00814087972926841,0.012628698348999023,0.0004057561904173997,True,5,sqrt,6,50,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 6, 'rf__n_estimators': 50}",-49.98201635531875,-41.49874131612882,-51.85561770175144,-48.756490527707925,-44.08078210864,-47.234729601909386,3.8487632833657046,86
17,0.18548197746276857,0.004033444586331108,0.01791720390319824,0.0007919648012645661,True,5,sqrt,6,100,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 6, 'rf__n_estimators': 100}",-50.63865476454549,-41.45120008722151,-51.23051978195084,-49.52898696344506,-44.52601884017458,-47.47507608746749,3.829207698443809,94
18,0.34323697090148925,0.0017835309879911806,0.028262996673583986,0.0030054067940449933,True,5,sqrt,6,200,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 6, 'rf__n_estimators': 200}",-50.4866474237104,-41.10044221961233,-51.41072222790789,-48.87373819124283,-44.58468222956657,-47.291246458408004,3.8816618883405396,90
19,0.662425422668457,0.0076500322589647595,0.04564061164855957,0.0012113543387122744,True,5,sqrt,6,400,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 6, 'rf__n_estimators': 400}",-50.38796310926944,-41.058512336564455,-51.54374932672572,-48.87405665391259,-44.66788242932209,-47.30643277115886,3.896320908703133,91
20,0.09385390281677246,0.00385623622465727,0.012562084197998046,0.0013662960417637011,True,5,sqrt,10,50,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",-50.16038044268558,-40.626723431209456,-50.752490017646004,-49.56484020920079,-46.081458366831775,-47.43717849351472,3.772382243409977,93
21,0.18007755279541016,0.005616436573627862,0.019030380249023437,0.004224852582267997,True,5,sqrt,10,100,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",-50.872493530132296,-40.96076982497846,-51.30041083462601,-49.61916448994288,-45.12024902753065,-47.57461754144206,3.9674828378605134,96
22,0.342000675201416,0.007851451845205826,0.02673177719116211,0.0004803096076896344,True,5,sqrt,10,200,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",-50.34829528678445,-41.178510709785236,-51.580887562658766,-49.416866245345254,-45.09117940191782,-47.52314784129831,3.8523180021796386,95
23,1.0781194686889648,0.20315353741811137,0.07643356323242187,0.014556530228163302,True,5,sqrt,10,400,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 10, 'rf__n_estimators': 400}",-50.41872938121418,-40.613625701496595,-51.59614834183028,-49.106946150012654,-44.91105661135539,-47.329301237181824,4.046202587084313,92
