,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbm__max_depth,param_gbm__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,0.593572473526001,0.008017195523702295,0.04611015319824219,0.008131196439504784,16,20,"{'gbm__max_depth': 16, 'gbm__n_estimators': 20}",-54.45172226038981,-46.99035141507581,-54.465796805277606,-50.91888379845099,-49.87817425188284,-51.340985706215406,2.852617479474029,23
20,1.0582372188568114,0.0180655085558211,0.0442713737487793,0.0042228087888820836,16,40,"{'gbm__max_depth': 16, 'gbm__n_estimators': 40}",-55.612666572884535,-47.60500086707347,-56.528064659838016,-53.045448370068684,-51.1667562779171,-52.79158734955636,3.210138671270065,30
21,2.0519442558288574,0.056000004140997955,0.05232968330383301,0.008979289735369853,16,80,"{'gbm__max_depth': 16, 'gbm__n_estimators': 80}",-55.716092119978825,-48.956536451397255,-57.01102643059415,-53.007937358132246,-51.83106457499233,-53.30453138701896,2.8536945562238625,40
22,3.7986144065856933,0.04404421606448418,0.05571017265319824,0.009616737391049611,16,160,"{'gbm__max_depth': 16, 'gbm__n_estimators': 160}",-56.472661537516586,-48.3950757143104,-56.30278209640111,-53.32635846239377,-51.2025605175232,-53.13988766562901,3.0793678296545037,35
23,4.360599756240845,0.11824642889745215,0.07338504791259766,0.008902919227827726,16,320,"{'gbm__max_depth': 16, 'gbm__n_estimators': 320}",-56.55000412070541,-47.662650041889435,-56.740064332338285,-54.13227095493787,-50.940662674696924,-53.20513042491358,3.475354091917929,37
24,0.27194900512695314,0.014202025884160504,0.03428306579589844,0.008279714741809536,20,10,"{'gbm__max_depth': 20, 'gbm__n_estimators': 10}",-54.73735025770303,-48.38354882594282,-54.74768695530802,-52.83829700142197,-50.77188518871901,-52.29575364581897,2.4452094343536714,27
25,0.5021718978881836,0.03709561540865869,0.03570480346679687,0.006953293840101089,20,20,"{'gbm__max_depth': 20, 'gbm__n_estimators': 20}",-54.6817357965295,-46.55748299841518,-54.39978571838729,-50.81165683811465,-49.27620814330084,-51.1453738989495,3.0903379224654217,20
26,0.8869967937469483,0.03673538643203222,0.041922569274902344,0.004335716094576437,20,40,"{'gbm__max_depth': 20, 'gbm__n_estimators': 40}",-55.60383969775891,-48.56945041790623,-56.29689312160531,-53.01839199029369,-51.024420722031586,-52.902599189919144,2.8682772594757284,31
27,2.582894706726074,0.06004791534232792,0.053358030319213864,0.018432580997502765,20,80,"{'gbm__max_depth': 20, 'gbm__n_estimators': 80}",-57.31121509501677,-48.98796000105984,-55.92571052081876,-52.443638574708146,-51.479405455983944,-53.2295859295175,3.0199675464450917,38
28,4.169630670547486,0.07459748268333548,0.06279530525207519,0.023156328082406575,20,160,"{'gbm__max_depth': 20, 'gbm__n_estimators': 160}",-55.88393817088068,-48.81842336544491,-56.5337204452641,-54.05553267145132,-51.058723906576446,-53.27006771192349,2.926017154962638,39
29,5.420567226409912,0.10766204793477488,0.0714116096496582,0.006583850915560044,20,320,"{'gbm__max_depth': 20, 'gbm__n_estimators': 320}",-56.41704115987587,-49.36766090720985,-56.73589936467246,-53.21079744756864,-51.86977291648114,-53.5202343591616,2.785520831665674,47
30,0.3370682716369629,0.027368235138271437,0.03731551170349121,0.00800638254940669,24,10,"{'gbm__max_depth': 24, 'gbm__n_estimators': 10}",-54.61408838517537,-48.19491903375038,-54.73752429648657,-52.46116610769251,-50.72308194486583,-52.14615595359413,2.471538978192941,25
31,0.6048768997192383,0.034297550682796565,0.04631562232971191,0.007278575468021232,24,20,"{'gbm__max_depth': 24, 'gbm__n_estimators': 20}",-53.77197870615463,-47.12453620458414,-54.353485109744035,-50.40336341374105,-50.37429819290362,-51.205532325425494,2.626221934327756,21
32,1.0852746963500977,0.09956322692476507,0.04956049919128418,0.007115406379259505,24,40,"{'gbm__max_depth': 24, 'gbm__n_estimators': 40}",-56.39089723025321,-48.01596466413711,-55.702767936986014,-52.66252716946835,-50.90724262443754,-52.73587992505644,3.0915520713986244,29
33,2.0804864883422853,0.06385185090942275,0.050142097473144534,0.0072052052283183635,24,80,"{'gbm__max_depth': 24, 'gbm__n_estimators': 80}",-55.7847960292703,-49.16370326200855,-56.159254559150384,-53.672848771388594,-51.848007956709665,-53.3257221157055,2.5962468145282704,41
34,3.6087107181549074,0.08329079135502834,0.06250767707824707,0.015530231296821467,24,160,"{'gbm__max_depth': 24, 'gbm__n_estimators': 160}",-56.40313756878698,-48.825887273638095,-55.852815999604175,-53.11555061316172,-50.81048280692278,-53.001574852422756,2.8965650890061276,32
35,4.571608257293701,0.1035877840990973,0.06668782234191895,0.01239094714933587,24,320,"{'gbm__max_depth': 24, 'gbm__n_estimators': 320}",-56.13426788904349,-49.251545913630416,-55.99624695804861,-54.512083231193635,-51.52050346896104,-53.48292949217544,2.689283930077845,45
36,0.2919341564178467,0.029422927357308892,0.03761215209960937,0.013009573750092759,28,10,"{'gbm__max_depth': 28, 'gbm__n_estimators': 10}",-55.10254879980539,-47.62317641905807,-54.81914113016354,-52.72423352098881,-51.24462314538139,-52.30274460307944,2.733744221304973,28
37,0.4912855625152588,0.019158120203993774,0.03658275604248047,0.00896969478956039,28,20,"{'gbm__max_depth': 28, 'gbm__n_estimators': 20}",-53.88886371999422,-46.424369672959045,-54.002711908408465,-51.14307167854858,-49.87277765904143,-51.06635892779035,2.8130868263174937,19
38,0.9098107814788818,0.058418940635191624,0.04271268844604492,0.012248207123213393,28,40,"{'gbm__max_depth': 28, 'gbm__n_estimators': 40}",-56.007923604627486,-48.57055703945193,-56.458089094534756,-52.93879377303604,-51.1283021788733,-53.020733138104696,2.9708853615888837,33
39,1.7334359645843507,0.09502038040301371,0.04871068000793457,0.009224564379783416,28,80,"{'gbm__max_depth': 28, 'gbm__n_estimators': 80}",-55.95645867684024,-49.725950516561355,-55.921133819099836,-54.07339874161184,-51.4570152393976,-53.42679139870218,2.474481887461371,44
40,3.3736133098602297,0.04894735299289827,0.0673901081085205,0.010826154206021402,28,160,"{'gbm__max_depth': 28, 'gbm__n_estimators': 160}",-56.62061852327466,-49.35935279474341,-56.47876042562209,-52.796295335134175,-51.57477507230858,-53.36596043021658,2.8237595919509917,43
41,4.781950426101685,0.0787115747098284,0.08414912223815918,0.008189234721574592,28,320,"{'gbm__max_depth': 28, 'gbm__n_estimators': 320}",-56.363602657979285,-49.47090656023351,-56.622388973113225,-52.62698167441853,-51.700610303340035,-53.356898033816925,2.759735510594965,42
42,0.30408897399902346,0.018129945471649127,0.04468374252319336,0.012065303515418867,32,10,"{'gbm__max_depth': 32, 'gbm__n_estimators': 10}",-54.85908082204282,-47.535822946925556,-54.7523468832368,-53.043581759184775,-50.65219355300053,-52.16860519287809,2.772801465131682,26
43,0.5681515216827393,0.02160020662494095,0.03117079734802246,0.0045921140422596285,32,20,"{'gbm__max_depth': 32, 'gbm__n_estimators': 20}",-53.89068400771593,-47.011480468763416,-54.60544764748927,-51.1835755004111,-49.62263271597158,-51.26276406807026,2.787443654835919,22
44,0.9324300289154053,0.033960904755739575,0.04410829544067383,0.004809658976428364,32,40,"{'gbm__max_depth': 32, 'gbm__n_estimators': 40}",-56.10567798401839,-48.86929865496183,-56.2933715197802,-53.47412536357424,-51.18137933809517,-53.184770572085974,2.8606188302660223,36
45,1.848824405670166,0.08255656951739937,0.07934937477111817,0.0178826554791448,32,80,"{'gbm__max_depth': 32, 'gbm__n_estimators': 80}",-56.36579878928064,-49.081811783655155,-57.16885639163816,-53.301902573150244,-51.54708762270501,-53.49309143208584,3.0015518566407726,46
46,3.674926519393921,0.073396618942852,0.06602311134338379,0.003822513024227852,32,160,"{'gbm__max_depth': 32, 'gbm__n_estimators': 160}",-55.96724231855192,-48.492920527530586,-56.03470837053804,-53.45658584929835,-51.3058947671109,-53.051470366605955,2.8772544005375384,34
47,5.646114730834961,0.07887195966316751,0.04986720085144043,0.02752110573900205,32,320,"{'gbm__max_depth': 32, 'gbm__n_estimators': 320}",-56.664062897998456,-49.57072148444326,-56.403514406745735,-54.17552640865702,-51.8198842758719,-53.72674189474327,2.7167254158851932,48
